Item ID #,Supplier Stock Ref,Cut,Carat,Color,Natural Fancy Color,Natural Fancy Color Intensity,Natural Fancy Color Overtone,Treated Color,Clarity,Make (Cut Grade),Grading Lab,Certificate Number,Certificate Path,Image Path,Online Report,Price Per Carat,Total Price,Polish,Symmetry,Measurements (LengthxWidthxHeight),Depth,Table,Crown Height,Pavilion Depth,Girdle (From / To),Culet Size,Culet Condition,Graining,Fluorescence Intensity,Fluorescence Color,Enhancement,Supplier,Country,State / Region,Remarks,Phone,Pair Stock Ref.,Email,priceVariance,rareCaretPrice,idexPrice,% Diff
118877724,CER024445,Round,0.5,I,,,,,SI1,Excellent,GIA,6241467581,http://DiamondTransactions.net/icp?di=118877724,,,1575,787.5,Excellent,Very Good,5.12x5.08x3.17,62.2,58,15,43.5,Medium / Slightly Thick,None,,,None,,,Y.D.I - Yoshfe Diamonds International Ltd,Israel,,,-2276301,,motti.c@ydiltd.com,0.8115345005,971,787.5,18.90%
118138849,6171869062,Round,0.5,F,,,,,SI2,Excellent,GIA,6171869062,http://DiamondTransactions.net/icp?di=118138849,http://stock1.bluestardiamonds.in/DiamondDetailNoMaster.aspx?sno=6171869062,,1680,840,Excellent,Very Good,5.2x5.15x3.14,60.6,58,,,,,,,None,,,Blue Star,Belgium,,,-209890,,vimal@antwerpstardiamonds.com,0.4425711275,1898,840,55.74%
118249682,HH0838,Round,0.5,F,,,,,SI2,Excellent,GIA,2217845258,http://88.99.93.89/disimage/cert/HH0838.PDF,http://88.99.93.89/dnadetails/dna.aspx?id=HH0838,,1636,818,Excellent,Very Good,5.15x5.09x3.11,60.6,57,14,43,Thin / Slightly Thick,,,,None,,,DIAMANTAIRE BVBA,Belgium,,WHITE/ NON GREEN/ NO MILKY,+32 477 294 397,,diamantairebvba@gmail.com,0.4309799789,1898,818,56.90%
118816985,179381,Round,0.5,F,,,,,SI2,Excellent,GIA,6221434978,http://DiamondTransactions.net/icp?di=118816985,,http://www.feedcenter.net/files/258/certs/6221434978.Pdf,1664,832,Excellent,Very Good,5.02x5.08x3.17,62.8,58,15,44,Medium / Slightly Thick,None,,,None,,,GUTFREUND DIAMONDS bvba,Belgium,,,+(32) 03.224.41.44,,sales@gutfreund.be,0.4383561644,1898,832,56.16%
118695622,XDJ91855,Round,0.5,F,,,,,SI2,Excellent,GIA,1223144756,http://DiamondTransactions.net/icp?di=118695622,,http://www.om-barak.com/barak/Output/Certificates/XDJ91855.jpg,2153,1076.5,Excellent,Very Good,5.17x5.13x3.07,59.7,60,13,43,Medium / Slightly Thick,None,,,None,,,Ofer Mizrahi Diamonds Ltd.,USA,Maryland,,312-558-9060,,ben@om-diamonds.com,0.5674394099,1898,1076.5,43.28%
117981327,DNJ107447,Round,0.5,G,,,,,SI2,Excellent,GIA,2247229710,http://DiamondTransactions.net/icp?di=117981327,,http://www.om-barak.com/barak/Output/Certificates/DNJ107447.jpg,1856,928,Excellent,Very Good,5.12x5.1x3.13,61.3,56,14.5,43,Medium / Slightly Thick,None,,,None,,,Ofer Mizrahi Diamonds Ltd.,USA,Texas,,312-558-9060,,ben@om-diamonds.com,0.4187725632,2216,928,58.12%
118816005,17176,Round,0.5,G,,,,,SI2,Excellent,GIA,6225835372,http://DiamondTransactions.net/icp?di=118816005,,,1675,837.5,Excellent,Very Good,5.21x5.18x3.09,59.4,61,12.5,43.5,Medium / Slightly Thick,None,,,None,,,Belgium NY LLC,USA,New York,,-9378926,,idex@belgiumgroup.net,0.3781588448,2216,837.5,62.21%
118450196,29907,Round,0.5,G,,,,,SI2,Excellent,GIA,7231731977,http://DiamondTransactions.net/icp?di=118450196,,,2000,1000,Excellent,Very Good,5.06x5.09x3.17,62.4,58,,,,,,,None,,,M & D Pienica Bvba,Belgium,,,-2333835,,serge@mdpienica.com,0.4512635379,2216,1000,54.87%
118857622,XPJ99459,Round,0.5,G,,,,,SI2,Excellent,GIA,2236340184,http://DiamondTransactions.net/icp?di=118857622,,http://www.om-barak.com/barak/Output/Certificates/XPJ99459.jpg,2048,1024,Excellent,Very Good,5.1x5.07x3.17,62.3,56,15.5,43.5,Thin / Slightly Thick,None,,,None,,,Ofer Mizrahi Diamonds Ltd.,USA,Illinois,,312-558-9060,,ben@om-diamonds.com,0.4620938628,2216,1024,53.79%
118831525,INJ86912,Round,0.5,H,,,,,SI2,Excellent,GIA,2214808745,http://DiamondTransactions.net/icp?di=118831525,,http://www.om-barak.com/barak/Output/Certificates/INJ86912.jpg,1808,904,Excellent,Very Good,5.1x5.05x3.17,62.6,56,16,43.5,Thin / Medium,None,,,None,,,Ofer Mizrahi Diamonds Ltd.,USA,Michigan,,312-558-9060,,ben@om-diamonds.com,0.9566137566,945,904,4.34%
